x;u(x);du(x);ddu(x);p(x);q(x);f(x);fc(x)
59.717;0.000525208;-0.0393324;1.47201;2.42228;3.04002;-3.54827;-361.244;
59.7171;0.000529149;-0.0394796;1.472;2.42239;3.03964;-3.54836;-361.241;
59.7172;0.000533105;-0.0396268;1.47199;2.42249;3.03925;-3.54845;-361.237;
59.7173;0.000537075;-0.039774;1.47198;2.4226;3.03887;-3.54854;-361.234;
59.7174;0.00054106;-0.0399212;1.47196;2.4227;3.03849;-3.54863;-361.23;
59.7175;0.00054506;-0.0400684;1.47195;2.42281;3.03811;-3.54872;-361.226;
59.7176;0.000549074;-0.0402156;1.47194;2.42292;3.03772;-3.54881;-361.223;
59.7177;0.000553103;-0.0403628;1.47193;2.42302;3.03734;-3.5489;-361.219;
59.7178;0.000557147;-0.04051;1.47192;2.42313;3.03696;-3.54898;-361.216;
59.7179;0.000561206;-0.0406572;1.47191;2.42323;3.03658;-3.54907;-361.212;
59.718;0.000565279;-0.0408044;1.47189;2.42334;3.0362;-3.54916;-361.208;
59.7181;0.000569367;-0.0409516;1.47188;2.42344;3.03581;-3.54925;-361.205;
59.7182;0.00057347;-0.0410988;1.47187;2.42355;3.03543;-3.54934;-361.201;
59.7183;0.000577587;-0.041246;1.47186;2.42365;3.03505;-3.54943;-361.197;
59.7184;0.000581719;-0.0413932;1.47184;2.42376;3.03467;-3.54952;-361.194;
59.7185;0.000585866;-0.0415404;1.47183;2.42386;3.03429;-3.54961;-361.19;
59.7186;0.000590028;-0.0416876;1.47182;2.42397;3.0339;-3.5497;-361.186;
59.7187;0.000594204;-0.0418348;1.47181;2.42407;3.03352;-3.54979;-361.182;
59.7188;0.000598395;-0.041982;1.4718;2.42418;3.03314;-3.54987;-361.179;
59.7189;0.000602601;-0.0421292;1.47178;2.42428;3.03276;-3.54996;-361.175;
59.719;0.000606822;-0.0422763;1.47177;2.42439;3.03238;-3.55005;-361.171;
59.7191;0.000611057;-0.0424235;1.47176;2.42449;3.032;-3.55014;-361.167;
59.7192;0.000615307;-0.0425707;1.47175;2.4246;3.03162;-3.55023;-361.163;
59.7193;0.000619571;-0.0427179;1.47173;2.4247;3.03124;-3.55032;-361.16;
59.7194;0.000623851;-0.0428651;1.47172;2.4248;3.03085;-3.55041;-361.156;
59.7195;0.000628145;-0.0430123;1.47171;2.42491;3.03047;-3.5505;-361.152;
59.7196;0.000632454;-0.0431594;1.4717;2.42501;3.03009;-3.55058;-361.148;
59.7197;0.000636777;-0.0433066;1.47168;2.42512;3.02971;-3.55067;-361.144;
59.7198;0.000641115;-0.0434538;1.47167;2.42522;3.02933;-3.55076;-361.14;
59.7199;0.000645468;-0.043601;1.47166;2.42532;3.02895;-3.55085;-361.136;
